vehicle,make,model,model_year,component,service_theme,complaint_count,recall_count,priority_score,priority,suggested_owner,sla,recommended_action,evidence_sample
2022 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2022,ELECTRICAL SYSTEM,Electrical / software issue,46,0,54,Medium,Product Quality + Dealer Service,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,onstar telematics module went out and took away my way to call in a car problems and if stolen wont be able to find and the forward Collision don't work my high beam turn on and off by themselves and don't have there wifi or severs without it or emergency button
2022 Tesla Model 3,Tesla,Model 3,2022,UNKNOWN OR OTHER,Safety-critical control issue,22,0,54,Medium,Customer Support Intake,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,While I was making a left turn my steering wheel suddenly got stuck. A vehicle almost hit me.
2021 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2021,ENGINE AND ENGINE COOLING,Driveability / power issue,43,0,53,Medium,Product Quality,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"The contact owns a 2021 Chevrolet Silverado 1500. The contact stated that while driving approximately 65 MPH, the message ""Service DEF System"" was displayed and the check engine warning was illuminated. The message speed would reduce by increments of 10 to 15 MPH until the vehicle could not accelerate 5 MPH after driving 75 miles. The contact stated that a handheld scanner was used to retrieve DTC: P20B9. The contact stated that the failure was a recurring failure. The vehicle was taken to a local dealer where it was diagnosed and determined that the DEF tank heater module needed to be replace"
2021 Tesla Model 3,Tesla,Model 3,2021,ELECTRICAL SYSTEM,Electrical / software issue,41,0,53,Medium,Product Quality + Dealer Service,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"I have been very cautious on charging my Tesla Model 3 and have followed all of the manufacturer's recommendations. The HV battery recently failed at 105,050 miles. South Korea has noted a battery reliability issue for this year car and model, so I am reporting this to you so if a recall is needed, you can track this. I believe my battery is a Panasonic NCA."
2021 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2021,STEERING,Safety-critical control issue,38,0,52,Medium,Dealer Service + Product Quality,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,All of a sudden my check engine light came on with the sudden loss of power steering. Almost impossible to steer at low speeds. After turning it off I waited about 15 minutes then restarted the engine and there was no problem steering. Concern about it happening again in the middle of traffic.
2021 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2021,AIR BAGS,Safety-critical control issue,14,0,52,Medium,Safety & Compliance,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"The vehicle involved is a Chevrolet Silverado 1500. During a collision, the vehicle sustained a front-left (driver-side) impact which caused it to spin and subsequently strike the rear. Despite the severity of the initial impact and secondary rear collision, the Supplemental Restraint System (SRS), including the front and side airbags, did not deploy. The failure of the airbag system increased the risk of injury to all occupants, including a minor child. Without deployment of the front or side airbags during a front-left impact and secondary rear collision, occupants were exposed to direct imp"
2022 Tesla Model 3,Tesla,Model 3,2022,ELECTRICAL SYSTEM,Electrical / software issue,30,0,51,Medium,Product Quality + Dealer Service,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"My 2022 Tesla Model 3 experienced a heat pump compressor failure at approximately 89,457 miles. Tesla Service Center diagnosed an internal failure in the heat pump system. The heat pump system controls cabin heating, windshield defrosting, and thermal management for the vehicle. When the system failed, the vehicle lost heating and proper defrost capability. This can impair windshield visibility during cold or foggy conditions, creating a potential safety hazard while driving. Tesla quoted approximately $3,000 to repair the compressor and declined warranty assistance despite the system being cr"
2022 Honda Civic,Honda,Civic,2022,UNKNOWN OR OTHER,Safety-critical control issue,8,0,51,Medium,Customer Support Intake,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,The vehicle will randomly say these warnings: Brake system problem. Brake performance may be reduced. See your dealer. Brake hold system problem. Apply brake when stopped. See your dealer. Anti-lock brake system problem. Brake performance may be reduced. See your dealer. Vehicle stability system assist problem. Reduced traction and handling. See your dealer. Electric parking brake system problem. Parking brake not available. See your dealer. I have shut the vehicle down and checked the VSA with no leaks and full fluid in reservoir. I checked the harness and the wires are great. I checked the t
2022 Honda Civic,Honda,Civic,2022,ELECTRICAL SYSTEM,Safety-critical control issue,7,0,51,Medium,Product Quality + Dealer Service,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"The rearview camera automatically projects onto the center display when applying the brake. On the morning of 2/16, the center display was showing the rearview camera view my entire morning commute to work. It is likely an electrical issue (short). This impacts my safety because if I need to access anything on my main display I cannot do it if the car is automatically displaying the rearview camera view. This is very distracting while driving and if others are dealing with a similar issue, they could be too focused on trying to mess with the display and take their attention of driving circumst"
2021 Tesla Model 3,Tesla,Model 3,2021,POWER TRAIN,Safety-critical control issue,6,0,51,Medium,Product Quality,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"The contact owns a 2021 Tesla Model 3. The contact stated while his wife was driving at approximately 29 MPH, the vehicle independently accelerated and the front of the vehicle crashed into a tree, where it came to a stop. No warning lights were illuminated. The front driver's side air bag was deployed. A police report was filed. Medical attention was sought as a precaution; however, there were no injuries sustained. The vehicle remained at the residence. The vehicle was not diagnosed or repaired. The manufacturer was not notified of the failure. The failure mileage was approximately 80,340."
2022 Hyundai Tucson,Hyundai,Tucson,2022,POWER TRAIN,Safety-critical control issue,6,0,51,Medium,Product Quality,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"The contact owns a 2022 Hyundai Tucson. The contact stated that while parked for approximately an hour and the front driver seat unoccupied, the contact's granddaughter climbed into the front seat from the rear to sit with the front passenger occupant and accidentally depressed the drive (D) button and the vehicle began rolling forward. The vehicle crashed into another parked vehicle. There were no injuries and no police report filed. Additionally, the contact stated that she attempted to switch to each gear and the vehicle's brake did not need to be applied to shift gears. The vehicle was not"
2022 Hyundai Tucson,Hyundai,Tucson,2022,UNKNOWN OR OTHER,Safety-critical control issue,6,0,51,Medium,Customer Support Intake,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"In December, while parking in garage, the vehicle suddenly accelerated causing considerable property damage Yesterday, Feb 26,2024 this happened again while parking. The car suddenly accelerated while parking, jumping over the parking curb and into the corner of a building causing major damage to the vehicle. No airbag deployment or forward collision warning in either case"
2021 Toyota Camry,Toyota,Camry,2021,STEERING,Safety-critical control issue,4,0,50,Medium,Dealer Service + Product Quality,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"Upon driving the vehicle the steering wheel fluid light came on, the car instantly shut off and restarted 3 times repeatedly. Once it cut back on the 4th time the car began smoking from the interior. Once I exited the vehicle and popped the trunk looking for where the smoke was coming from. The car engulfed into flames. It is so badly burnt up you can’t see what started the fire."
2021 Tesla Model 3,Tesla,Model 3,2021,LANE DEPARTURE,Safety-critical control issue,3,0,50,Medium,Customer Support Intake,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"I believe that Tesla's autosteer and Full self driving features are improperly designed. I will speak to them as if they were one and the same. I noticed that you have a check box for Lane Keeping Assistance above, but there is no checkbox for coercive auto steering, which is Tesla's product. The only ability it offers as far as steering the car is to forcibly disengage the autosteering feature. This is not assistance and this is the problem. A properly designed Lane Keeping Assistance feature continuously monitors driver steering action, lane position, and traffic conditions. If the Lane Keep"
2021 Toyota Camry,Toyota,Camry,2021,ELECTRICAL SYSTEM,Safety-critical control issue,3,0,50,Medium,Product Quality + Dealer Service,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,had brake issues a year into getting vehicle went back multiple times and blackstone toyota couldn’t fix issue still can’t and still there at dealer and now there’s airbag safety recall car has been at dealership for 4 months no resolution
2021 Hyundai Tucson,Hyundai,Tucson,2021,AIR BAGS,Safety-critical control issue,2,0,50,Medium,Safety & Compliance,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"On [XXX], the vehicle was involved in a complex multi-impact accident. It was struck by a vehicle on the passenger (right) side and, simultaneously, by another vehicle on the driver's (left) side. (Police Report). During this sequence of collisions, and despite the magnitude of the impact, I must express my extreme concern that the left side airbag (driver's side) did not deploy. This failure caused Mr. [XXX] , the undersigned, to suffer a neck injury as a direct consequence of the incident. Even more seriously, the right-side passenger, Ms. [XXX] , sufferedsevere internal injuries, including "
2021 Toyota Camry,Toyota,Camry,2021,POWER TRAIN,Safety-critical control issue,2,0,50,Medium,Product Quality,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"A couple Monday’s ago, I was backing my 2021 Camry LE out of the driveway when I felt the car lurch and continue in reverse until I crashed into a car down the street. I have literally backed out of that driveway thousands of time since 2006, hundreds of times with the Camry LE, and several times since the accident. I have never had this experience. While I cannot dismiss that I might have hit the accelerator, the backing out of the driveway usually requires that I ride the brake into the street, especially since I am right off the corner where cars tend to cut around quickly. (Initial estimat"
2022 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2022,STRUCTURE,Safety-critical control issue,2,0,50,Medium,Customer Support Intake,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"The contact owned a 2022 Chevrolet Silverado 1500. The contact stated that while driving at 60 MPH, the steering wheel seized and the vehicle violently lunged to the right. The passenger's front tire detached from the vehicle, causing the contact to lose control of the vehicle. The contact crashed into the bumper blocks. The contact and the passenger were injured and received medical attention. A police report was filed. The vehicle was towed to a collision center. The vehicle was deemed totaled by the insurance company. The vehicle was not diagnosed or repaired by an independent mechanic or d"
2022 Honda Civic,Honda,Civic,2022,SEAT BELTS,Safety-critical control issue,2,0,50,Medium,Safety & Compliance,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,Passenger rear seat beat buckle no longer buckles to keep kids safe in the rear seat.
2021 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2021,EQUIPMENT,Safety-critical control issue,1,0,50,Medium,Customer Support Intake,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"The contact owned a 2021 Chevrolet Silverado. The contact stated that after plugging in the block heater around 5:15 P.M. while the vehicle was parked unattended in the tool shed, he was notified around 9:45 P.M. that the tool shed and vehicle had caught fire. There were no issues with the vehicle before the failure. There were no reported injuries, airbag deployment, or police report filed. The fire department was able to extinguish the fire. The local dealer was not contacted. The vehicle was not diagnosed or repaired. The manufacturer was contacted, and they opened a claim. The insurance co"
2021 Toyota Camry,Toyota,Camry,2021,STRUCTURE,Safety-critical control issue,1,0,50,Medium,Customer Support Intake,3 business days,Track trend weekly and create support macro or service bulletin candidate if volume grows.,"I was stopped at a car wash, pressing on the brake pedal when all of a sudden it felt like someone rear-ended me. My car accelerated without me stepping on the gas pedal and I turned the wheel quickly to avoid hitting the car in front of me head on. I clipped his right back bumper, flew over a large shrub and landed smashing into a parked vehicle. The total front end of my vehicle was damaged and no air bag deployed."
2021 Hyundai Tucson,Hyundai,Tucson,2021,ENGINE,Driveability / power issue,21,0,49,Low,Product Quality,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,I already replaced 3 catalytic converters and I am at 31000 miles. They finally decided to do an oil consumption test but it passed. The other day my car started shaking and my ignition coil and spark plugs were also bad which somehow is related to my engine issues.
2021 Tesla Model 3,Tesla,Model 3,2021,UNKNOWN OR OTHER,Safety-critical control issue,17,0,48,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"On [Wednesday, 07/09/2025], I was driving my Tesla Model 3 in rainy conditions when the vehicle suddenly swerved and crashed into a sidewall. The road was wet but not flooded, and I was traveling at a moderate speed. As I lifted my foot off the accelerator to slow down, the car's regenerative braking system engaged abruptly, which I believe shifted weight forward and caused the rear tires to lose traction. This led to hydroplaning and complete loss of control. There were no warning lights or alerts prior to the incident. The road surface did not have visible hazards or standing water that woul"
2021 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2021,ELECTRICAL SYSTEM,Driveability / power issue,15,0,48,Low,Product Quality + Dealer Service,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,I just bought this truck off a used car lot certified dealer and I noticed the engine light on then the truck would hesitate to start and I know the battery is dying so I looked it up and I got a recall on 2021 Chevy Silverado just like mine just wondering why mine is not under recall or why won’t mine get fixed but everybody else is the same year in the same problems can get fixed. I think mine should be fixed.
2022 Hyundai Tucson,Hyundai,Tucson,2022,SERVICE BRAKES,Safety-critical control issue,15,0,48,Low,Dealer Service + Product Quality,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"When braking my 2022 Hyundai Tucson to come to a stop, the vehicle continues to accelerate. I have to release the brake and re-apply the brake to fix the acceleration problem. I check the internet on this problem. They internet says it is a software problem. The vehicle shows no code and the dealer says they don't have a problem. The dealer has not check for the problem since there is no code. No warning lamps or messages show up on dash. This happened 4 times in the last few months. Latest date was 4-4-2026"
2021 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2021,UNKNOWN OR OTHER,Driveability / power issue,11,0,47,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,P1098 engine coolant control valve Engine light comes on and truck says reduced power. Then went off. Back on again
2022 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2022,UNKNOWN OR OTHER,General vehicle issue,10,0,47,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"the rear window did not stop when a child's hand was in the closing space. The [XXX] old's hand was caught, causing injury and pain. INFORMATION REDACTED PURSUANT TO THE FREEDOM OF INFORMATION ACT (FOIA), 5 U.S.C. 552(B)(6)"
2022 Hyundai Tucson,Hyundai,Tucson,2022,UNKNOWN OR OTHER,Service experience issue,10,0,47,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"During the early morning of December 23, 2024, at 2am, the vehicle caught fire in the carport of my house. Upon waking up to the noise, I proceeded to evacuate my family from the house due to the amount of smoke inside. The fire damaged approximately one-third of the house. Prior to this incident, the vehicle showed no defects, and all its services were performed by the same Hyundai dealership workshop where I bought the vehicle."
2022 Tesla Model 3,Tesla,Model 3,2022,VEHICLE SPEED CONTROL,General vehicle issue,33,0,46,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"My family and I were in my Tesla Model 3 2022 and heading from Charlotte to Orlando on [XXX]. The car was in Full Self-Drive (FSD) mode while commuting through Daytona Beach. The rain was heavy in the area. While driving in Daytona Beach, FSD caused the car to change lanes and go to a lane that had standing rain puddles on [XXX]. After FSD caused the lane change, the car immediately hydroplaned out of control. The car's short clearance from it's bottom and the ground which traps water that exacerbates hydroplaning, along with its generative breaking feature made matters worse and uncontrollabl"
2021 Honda Civic,Honda,Civic,2021,AIR BAGS,Safety-critical control issue,8,0,46,Low,Safety & Compliance,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"The contact owns a 2021 Honda Civic. The contact received notification of NHTSA Campaign Number: 24V064000 (Air Bags); however, the part to do the recall repair was not yet available. The local dealer was contacted. The contact stated that the manufacturer had exceeded a reasonable amount of time for the recall repair. The manufacturer was made aware of the issue. The contact had not experienced a failure."
2021 Honda Civic,Honda,Civic,2021,ELECTRICAL SYSTEM,Safety-critical control issue,8,0,46,Low,Product Quality + Dealer Service,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"A recent Electric Power Steering (EPS) failure on my 2021 Honda Civic that resulted in a repair of the entire steering rack. I took my vehicle to Vandedrgriff dealership for routine maintenance, including tire replacement, alignment, oil change, and a multi-point inspection. The car passed all checks and was deemed safe to drive. However, immediately after leaving, the steering became sticky and difficult to control on the freeway — a serious safety risk. Upon returning the next day, I was informed of an internal EPS failure, with a repair estimate exceeding $4,584.30. I later discovered this "
2022 Hyundai Tucson,Hyundai,Tucson,2022,ELECTRICAL SYSTEM,Driveability / power issue,7,0,46,Low,Product Quality + Dealer Service,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"While driving, I accelerated to merge onto the highway. The check engine light flashed a few times and the engine started wobbling like it was misfiring. I have also been having a parasitic drain on my auxiliary batter that makes the car not open to my key fob that I know works. The dealership told me it was bad fuel, but they “tested the fuel” with no diagnostic report/proof/records, saying that the fuel was bad and had a high concentration of 5% alcohol. They re-did the test and took pictures which shows the fuel is within tolerance but no diagnostic report and are refusing to complete a war"
2022 Honda Civic,Honda,Civic,2022,ENGINE,Driveability / power issue,6,0,46,Low,Product Quality,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"Civic developed a misfire. Diagnosis at the Honda service center revealed a leaking #2 fuel injector causing fuel wash-down into cylinder #2. This led to fouled & broken spark plugs in cylinders 2 and 3, blown head gasket, scored cylinder wall in cylinder #2, hairline crack in cylinder head and valve damage. Engine and head have been deemed unsalvageable by the Honda service center. Honda has indicated this vehicle will not be covered under TSB A18-025 and Warranty Extension 21-010 despite being the same engine family (L15B7/L15CA) used in 2016-2021 Civics that were completely covered."
2022 Hyundai Tucson,Hyundai,Tucson,2022,STEERING,Safety-critical control issue,6,0,46,Low,Dealer Service + Product Quality,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"The contact owns a 2022 Hyundai Tucson. The contact stated that while driving 15 MPH, the vehicle jerked right and inadvertently drove into a snowbank. The vehicle was taken to the residence and then towed to a dealer, where the failure could not be duplicated. The contact had not sustained injuries, and a Police Report was not filed. The vehicle was not repaired. The manufacturer was not notified of the failure. The failure mileage was 30,200."
2022 Honda Civic,Honda,Civic,2022,AIR BAGS,Safety-critical control issue,5,0,46,Low,Safety & Compliance,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"The contact's son owns a 2022 Honda Civic. The contact stated that while her son was driving at a moderate speed through city traffic, the vehicle drove over a pothole and the front and rear passenger’s side air bags deployed. The contact's son had not suffered any injuries; however, the front passenger’s side seat belt was damaged. Despite the air bag deployment, the vehicle was still drivable. The vehicle was taken to a dealer and the contact was repeatedly informed by various employees that they could not guarantee that any repair performed to the air bags would fix the vehicle. The manufac"
2022 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2022,POWER TRAIN,Driveability / power issue,115,0,45,Low,Product Quality,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,Was driving down the road at 35 mph and I instantly lost forward drive. Reverse worked but I could not drive forward. Got the vehicle towed and had to have the valve body in the transmission replaced.
2021 Tesla Model 3,Tesla,Model 3,2021,VEHICLE SPEED CONTROL,General vehicle issue,28,0,45,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"Ever since Tesla rolled out an update for everyone to beta test FSD, the adaptive cruise control has been changing speeds when near interstate type exits and entrances. I've had it change from 75 down to 40 mph which is dangerous in traffic. This change in speed some times is just a drop to the next 5mph increment, such as from 73 to 70. Sometimes it is more from 73 to 65 at the same place/exit. It is not consistent. The only thing consistent is it's near exits even when not in an exit lane or nearest lane to the exit. This ""Feature"" needs to be removed as it is unpredictable which makes it da"
2021 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2021,UNKNOWN OR OTHER,Service experience issue,4,0,45,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,Warranty issue the p1098 code
2022 Tesla Model 3,Tesla,Model 3,2022,WHEELS,Electrical / software issue,4,0,45,Low,Dealer Service,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"The contact owns a 2022 Tesla Model 3. The contact stated that while approaching the vehicle, the tire was abnormally low. The TPMS warning light was illuminated. The vehicle was taken to the dealer, who discovered a crack in the wheel, resulting in damages to the tire. The contact was informed that the wheel needed to be replaced. The vehicle was not repaired. The manufacturer was notified of the failure but provided no assistance because the wheels were not covered under warranty. The failure mileage was 20,000."
2022 Toyota Camry,Toyota,Camry,2022,SERVICE BRAKES,Safety-critical control issue,4,0,45,Low,Dealer Service + Product Quality,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,the pedal sinks while I hold it for while.....and there are no visible leaks outside the car
2021 Hyundai Tucson,Hyundai,Tucson,2021,UNKNOWN OR OTHER,General vehicle issue,3,0,45,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"I left my house this am in below zero temperatures. I drove to my daughter's apartment complex 41 miles away. I pulled into her underground parking garage and then heard a loud pop, followed by the rear hatch window imploding into thousands of pieces."
2022 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2022,FORWARD COLLISION AVOIDANCE,Safety-critical control issue,3,0,45,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"The contact owns a 2022 Chevrolet Silverado 1500. The contact stated while driving approximately 35 MPH, the vehicle in front came to a stop and the contact depressed the brake pedal however, the pedal went to the floorboard. The contact stated that the Forward Collision Avoidance system failed to activate as needed. The contact stated no warning light was illuminated. The contact had not taken the vehicle to a local dealer or independent mechanic. The vehicle was not diagnosed and was not repaired. The manufacturer was informed of the failure. The failure mileage was approximately 17,000."
2021 Tesla Model 3,Tesla,Model 3,2021,STRUCTURE,Safety-critical control issue,2,0,45,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,There is no manual door release for the rear doors. Thus rear passengers are at risk should the electrical system fail in a crash. Tesla should be required to provide a modification that allows rear passengers to manually open the rear doors.
2021 Toyota Camry,Toyota,Camry,2021,SUSPENSION,Safety-critical control issue,2,0,45,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,I was 165 mph and someone hit me and threw me into a sign that had big huge poles on it all the ones in California do I went right through it got banged all around I have to say the car is a tank because it got me home but it never deployed airbags when I know that it should have I’m pretty sure any other car would have the way that mine was wreck
2022 Honda Civic,Honda,Civic,2022,POWER TRAIN,Safety-critical control issue,2,0,45,Low,Product Quality,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"[XXX] The power steering column locked up while driving down [XXX] causing an incident that caused the car to become a total loss. A police report was generated where II stated the power steering column locked which caused the incident, I informed my insurance company immediately and throughout the dealings with my insurance company and Honda Collision center I kept stating the steering column locking as the issue. I even reached out to Honda Automobile Customer spoke to Danielle and Casey at 1-888-234-2138 on 10/4/2024 at 3:36 pm in which I was advised of the recall inspect EPS part 23089. Ho"
2022 Hyundai Tucson,Hyundai,Tucson,2022,SEAT BELTS,Safety-critical control issue,2,0,45,Low,Safety & Compliance,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"Yesterday used front passenger side seatbelt and it worked fine. Today it did not work at all, seatbelt does not latch."
2021 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2021,FUEL SYSTEM,Service experience issue,1,0,45,Low,Safety & Compliance + Parts Planning,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"The contact owns a 2021 Chevrolet Silverado 1500. The contact stated that the oil was lowering several quarts at a fast rate, and the oil was burning at a fast rate. After lowering down 3 quarts of oil by 3 weeks. At the same time, driving at approximately 25 - 30 MPH when they noticed black smoke coming from underneath the front passenger side of the hood between the window and windshield. The contact pulled to the side of the road where the fire was extinguished with a fire extinguisher. The fire department was not called. A police report was not filed. There were no injuries and no medical "
2022 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2022,WHEELS,Safety-critical control issue,1,0,45,Low,Dealer Service,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"The contact owned a 2022 Chevrolet Silverado 1500. The contact stated that while his wife was driving at approximately 10 MPH and coming to a stop light, inadvertently the front driver-side wheel detached from the vehicle, which led her to collide with a vehicle that was parked on the right side. As a result, all of the underneath of the vehicle was damaged. The contact stated that the wheel flew away and fell in front of the driver attempting to turn to the right and also causing a collision. There were no warning lights illuminated, and no strange sounds were noticed before the failure. The "
2022 Tesla Model 3,Tesla,Model 3,2022,ENGINE,Safety-critical control issue,1,0,45,Low,Product Quality,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"The contact owned a 2022 Tesla Model 3. The contact stated that while driving at an undisclosed speed and merging into the right direction of the highway, the vehicle lost control, swerved from left to right, and spun. As a result, the contact crashed into the concrete divider where the vehicle came to a stop. No warning lights were illuminated at the time of the failure. No injuries were sustained. The police were at the scene however a police report was not filed. The vehicle was totaled by the insurance company. The contact mentioned an unknown recall being related to the safety failure exp"
2022 Toyota Camry,Toyota,Camry,2022,STRUCTURE,Safety-critical control issue,1,0,45,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"Sudden unintended acceleration. Pulling slowly into a parking spot and the car unexpectedly accelerated and crashed into another car which, in turn, crashed into a third vehicle."
2022 Hyundai Tucson,Hyundai,Tucson,2022,ENGINE,Driveability / power issue,49,0,44,Low,Product Quality,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"The contact owns a 2022 Hyundai Tucson. The contact stated that while stopped, the vehicle hesitated to respond, with the check engine warning light illuminated. The contact stated that while the vehicle was parked, it was shaking unexpectedly with a misfire coming from the engine, and the check engine warning light illuminated. The vehicle was taken to the dealer, where it was diagnosed and determined that the fuel injector had failed and needed to be replaced. The vehicle was repaired. The contact later stated that while driving at an undisclosed speed, the vehicle lost motive power, with th"
2022 Hyundai Tucson,Hyundai,Tucson,2022,ELECTRICAL SYSTEM,Electrical / software issue,24,0,44,Low,Product Quality + Dealer Service,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"The car is dead if you do not drive it every 4 days. The battery and system have no power. It has happened multiple times over the past year. Have taken the car to Castle Hyundai of Downers Grove, IL. To date no resolution has been reached wh6 my car looses power. The dealer ran computer checks. Verified the battery had to be reset multiple times. Could not identify any issues with battery or hev system. Contacted Hyundai. Support stated their technical specialist conclusion waste make sure i drive the car for a half hour every other day. That was their ""resolution"". A car should be able to si"
2022 Tesla Model 3,Tesla,Model 3,2022,FORWARD COLLISION AVOIDANCE,Electrical / software issue,21,0,44,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"Tesla Full Self-Driving (FSD) drove the vehicle onto a curb inadvertently, a few days after a software update. The incident caused a scratch to the wheel and a cut in the tire. Tesla has refused to cover the repair, stating that FSD requires driver attention. The issue is that the vehicle had never driven into a curb on a 90-degree turn before. I had my hands on the wheel and did not anticipate the software making an incorrect decision and striking the curb. Full Self-Driving was engaged at the time, and the software made an incorrect calculation that resulted in the impact. Tesla should repla"
2021 Tesla Model 3,Tesla,Model 3,2021,UNKNOWN OR OTHER,General vehicle issue,20,0,44,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,Full self driving system (fsd) has ran a red light twice. It slows almost to a stop then takes off.
2022 Tesla Model 3,Tesla,Model 3,2022,UNKNOWN OR OTHER,Electrical / software issue,15,0,43,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,Tesla odometer discrepancy) combines the energy to run the car to count against the mileage. The car is often sitting parked and all of a sudden the mileage is shorter… Basically the odometer reading is wrong because weekly added miles are attached to odometer because the air is on or screen is used and that’s not fair for us because it’s incorrect.
2022 Tesla Model 3,Tesla,Model 3,2022,UNKNOWN OR OTHER,General vehicle issue,14,0,42,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,There is NO way to find the emergency manual release in the rear doors. WHERE ARE THEY!!!!??? There is no panel or cover to remove to find a release for the doors in case there is no power!!! This my friends car. I don't have his VIN so I grabbed on off the internet.
2022 Chevrolet Silverado 1500,Chevrolet,Silverado 1500,2022,UNKNOWN OR OTHER,Safety-critical control issue,11,0,42,Low,Customer Support Intake,7 business days,Log for trend monitoring; route to standard customer support/service workflow.,"Vehicle has experienced repeated internal engine failures related to the exhaust valve lash adjusters and valvetrain. The engine developed abnormal valvetrain noise, misfires under load, and loss of power. The check engine light would only flash during hard acceleration or when passing another vehicle (wide-open throttle), then turn off after approximately 10–15 seconds and never remain illuminated. Because the warning light would not stay on, the vehicle continued to be operated without clear indication of an active or worsening engine failure. Dealer inspection confirmed exhaust valve lash a"
